month,day,hour,City,Shape,State,Country,Summary,lat,lng
12.0,21.0,19.0,Waynesboro,Sphere,VA,USA,Bright round object hovering in sky.,38.0652286,-78.90588756
12.0,20.0,22.0,Santa Rosa,Sphere,CA,USA,Bright orange planet-like object sighted near Cassiopia,38.4404675,-122.7144313
12.0,20.0,19.0,Fresno,Circle,CA,USA,Twelve orange globes in formation over Fresno,36.7295295,-119.7088612
12.0,19.0,21.0,Reymert,Circle,AZ,USA,"While camping in the Cottonwood canyon Rd., along the gas line rd., I awoke 
to my dog growling and staring north. I looked to see what",33.2297793,-111.2092898
12.0,19.0,21.0,Redding,Light,CA,USA,"Stargazing I saw a star just appear then moves slowly then gradually fade 
out",40.5863563,-122.3916753
12.0,19.0,20.0,Gilbert,Light,AZ,USA,"Undulating swarm cloud of thousands of multi-colored blinking lights in the 
sky for 10-15 minutes. ((NUFORC Note: LED balloons. PD))",33.294207,-111.7379465
12.0,19.0,19.0,Phoenix,Circle,AZ,USA,"Bright light in the night sky. Disappears within about every 30 min returns 
in intervals. ((NUFORC Note: Venus?? PD))",33.4485866,-112.0773455
12.0,19.0,18.0,Huber Heights,Cylinder,OH,USA,"Entire family sees very large, stationary, bright light in the night sky 
which simply disappears all at once.",39.85902405,-84.11136285
12.0,19.0,18.0,Conway,Chevron,AR,USA,((NUFORC Note: No information provided by witness. PD)),35.0886963,-92.442101
12.0,19.0,6.0,Town and Country,Light,MO,USA,"I was heading N on Barrett Stat. Rd, saw glimmering in the sky N of 
Manchester slowly drifting. many different colours.",38.6122751,-90.4634531
12.0,19.0,3.0,Salt Lake City,Triangle,UT,USA,Triangular shaped object changing speed. ((anonymous report)),40.7670126,-111.8904307
12.0,19.0,1.0,Richardson,Triangle,TX,USA,"3 triangular shaped craft - flying in V-formation from West to East, just 
North of Dallas Texas, and the night sky was very clear",32.9481789,-96.7297205
12.0,18.0,22.0,Wetaskiwin,Light,AB,CANADA,"Bright Red Light Seen by Roommate and Myself in Northren sky moving West to 
East.",52.968492,-113.3679199
12.0,18.0,21.0,Berryville,Formation,AR,USA,"I saw my dog looking up at the sky. Looked up as well to see 15-18 gold 
lights in a loose flock-like formation. ((anonymous report))",36.364792,-93.5679666
12.0,18.0,21.0,St. George,Chevron,UT,USA,V-shaped lights heading SW at high rate of speed. No sound.,37.104153,-113.5841312
12.0,18.0,20.0,Bend,Other,OR,USA,"Large fleet of lights flying together in unity across the sky over Bend 
Oregon",44.0581728,-121.3153095
